"t";"aveOLWAll";"sdOLWAll";"aveFIAll";"alive";"pen";"week";"stage";"weekDay";"OptFeedMix";"optThreshold";"eAveOLWAll";"eAveGAll";"eSdOLWAll"
0;31,3597573029114;1,56455765114181;14,3866159739102;15;3;1;1;7;1;NA;26,49;5,8;2,850987
7;37,4642390085155;1,70598885653587;14,8328067884076;15;3;2;2;7;1;NA;37,402;6,44;2,332
14;44,9271308171234;2,91603590509414;16,4422081131505;15;3;3;3;7;1;NA;44,467;7,055;3,058
21;54,4142790731321;3,77261231119144;18,0234670084001;15;3;4;4;7;1;NA;52,828;7,296;4,022
28;62,1739687809438;5,50068315043353;19,2988723810877;15;3;5;5;7;1;NA;60,925;7,778;5,391
35;70,1999902120279;6,63757290191278;20,5366935150739;15;3;6;6;7;1;NA;69,241;8,222;6,722
42;78,0228493807688;8,03018280869489;21,3067289888766;15;3;7;7;7;1;NA;77,654;8,453;8,061
49;87,2734592800665;11,1825633197674;21,9076715257113;15;3;8;8;7;1;NA;86,494;8,293;9,646
56;98,8955739987541;12,662659705189;22,4643519799872;15;3;9;9;7;1;3;96,128;7,648;11,219
63;103,2340380943;14,1522711422718;22,7083856525087;12;3;10;10;7;1;3;103,599;8,3;12,784
70;110,920346936216;18,7295629093232;22,7542770050453;9;3;11;11;7;1;9;111,586;8,044;14,676
